               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 136,            0.030331,            0.020731,           0.0044763,             0.85346,             0.85251,             0.95891,             0.50919,            0.040738,             0.16573,           0.0051321,           0.0054987,           0.0054987,           0.0054987
                 137,            0.031092,            0.021635,           0.0048463,              0.9685,             0.77999,             0.97496,             0.51441,            0.026882,             0.13191,           0.0040149,           0.0054488,           0.0054488,           0.0054488
                 138,            0.032355,            0.021821,            0.004704,             0.96629,             0.85334,             0.96901,             0.49404,            0.031723,              0.1289,           0.0047484,           0.0053991,           0.0053991,           0.0053991
                 139,            0.029135,            0.019657,           0.0042414,             0.92068,             0.82439,             0.92711,             0.43537,            0.056218,             0.17693,            0.011222,           0.0053495,           0.0053495,           0.0053495
                 140,            0.031779,            0.023987,           0.0045187,             0.95509,             0.76714,             0.91054,             0.39766,              0.0692,             0.20205,            0.012613,           0.0052999,           0.0052999,           0.0052999
                 141,            0.030731,            0.023073,           0.0043073,             0.92664,             0.82397,             0.91592,             0.46657,             0.05287,             0.21144,            0.010673,           0.0052505,           0.0052505,           0.0052505
                 142,            0.028912,            0.020579,           0.0039406,             0.93645,             0.72049,             0.87993,             0.42534,            0.060825,             0.23985,           0.0077679,           0.0052012,           0.0052012,           0.0052012
                 143,            0.028819,             0.02062,           0.0043979,             0.76857,             0.78357,             0.86709,             0.40708,            0.061528,             0.27835,           0.0076938,            0.005152,            0.005152,            0.005152
                 144,            0.028816,            0.018402,           0.0040465,              0.9141,             0.76969,             0.88702,             0.42172,            0.046313,             0.24439,           0.0097302,           0.0051029,           0.0051029,           0.0051029
                 145,            0.030802,            0.022145,           0.0044071,             0.93497,             0.80462,             0.94544,             0.51971,             0.04296,              0.1755,           0.0051053,            0.005054,            0.005054,            0.005054
                 146,             0.02958,            0.020543,           0.0040109,             0.94902,             0.85778,             0.96236,             0.51235,            0.036128,             0.14684,           0.0039505,           0.0050052,           0.0050052,           0.0050052
                 147,             0.02879,            0.020555,           0.0041089,             0.93762,             0.81165,             0.92263,             0.51111,            0.043856,              0.2004,           0.0057503,           0.0049566,           0.0049566,           0.0049566
                 148,            0.029043,            0.020521,           0.0042604,             0.93741,             0.87864,              0.9484,             0.52883,            0.029649,             0.17596,           0.0040338,           0.0049082,           0.0049082,           0.0049082
                 149,            0.029253,            0.018754,           0.0042837,             0.91809,             0.72564,             0.87301,             0.38306,            0.043128,             0.26337,            0.008133,           0.0048599,           0.0048599,           0.0048599
                 150,            0.027869,            0.023224,           0.0042781,             0.89118,             0.70935,             0.87057,             0.44103,             0.04215,             0.28544,            0.010322,           0.0048118,           0.0048118,           0.0048118
                 151,            0.030564,            0.021009,            0.004306,             0.97326,             0.78471,             0.86872,             0.42434,              0.0629,             0.20096,           0.0067681,           0.0047639,           0.0047639,           0.0047639
                 152,            0.032153,            0.024271,           0.0038456,             0.95957,             0.85227,             0.94777,             0.45563,            0.047249,             0.15188,           0.0046893,           0.0047162,           0.0047162,           0.0047162
                 153,            0.029838,            0.022237,           0.0044106,             0.95446,             0.92237,             0.97123,             0.55745,             0.03076,             0.12117,           0.0035468,           0.0046687,           0.0046687,           0.0046687
                 154,            0.029351,            0.020976,           0.0042183,             0.97382,             0.84908,             0.95682,             0.56557,            0.033812,             0.14031,           0.0038121,           0.0046214,           0.0046214,           0.0046214
                 155,            0.029806,            0.020115,           0.0039562,             0.96468,             0.76012,             0.83677,             0.49932,            0.053949,             0.18333,           0.0060099,           0.0045744,           0.0045744,           0.0045744
